"Date","Tweet","ReplyTo","RT","Likes","RTs"
"2019-12-16 13:53Z","@sleepinthdirt Vem comigo! ","@sleepinthdirt",NA,1,0
"2019-12-16 13:43Z","Hoje tem filézin de frango com purê de batata. Amanhã tem carne ensopada ou almôndega de soja. Quarta linguiça e macarrão, e quinta coxa com sobrecoxa e FAROFA NATALINA. 🎅🏻https://t.co/GhD1E1dzVm https://t.co/yKcdUj4v1f ","",NA,10,1
"2019-12-13 19:49Z","@PAlinhares @uff_br UNIRIO, PÔ!!!!! ","@PAlinhares",NA,4,0
"2019-12-13 10:09Z","#pracegover Imagem com fundo azul comemorativa do Dia Nacional do Cego. Mulher cega posicionada do lado esquerdo, de óculos escuros e abraçando um cachorro preto e branco. Do lado direito uma menina segurando um urso de pelúcia também abraçando o cachorro. https://t.co/UviUTXgL6y ","",NA,1,0
"2019-12-11 13:53Z","Minicurso ‘Treinamento para participação em atividades com animais vertebrados’: inscrições abertas

https://t.co/x5yUICRWME ","",NA,2,2
"2019-12-10 15:21Z","Os espetáculos de fim de ano do Projeto de extensão Teatro em Comunidades Redes de Teatro na Maré estrearam neste sábado, dia 7 de dezembro, no Palcão da UNIRIO. Ainda tem apresentações dia 13, 14 e 15! https://t.co/qGew4HEVpc ","",NA,3,0
"2019-12-10 15:19Z","Gente, vai até sexta (13) a exposição: ""Egito: A antiguidade com olhares de modernidade"". É na Bibioteca Central. Bora lá! https://t.co/hGlkWrxMxb ","",NA,11,1
"2019-12-06 15:42Z","🕺💃O documentário ""Corpo de Baile"" que conta os 80 anos de história da dança no Theatro Municipal vai ser exibido no canal CURTA! nos dias:

19/12 - 18h35
20/12 - 04h35
20/12 - 12h35
21/12 - 04h
22/12 - 07h
23/12 - 06h35

Assista ao trailer: https://t.co/4hXoAcUkpS ❤️ https://t.co/cBPk07A7wP ","",NA,4,0
"2019-12-04 13:29Z","▶️ Trago verdades!!!!! 

Este vídeo da série ""Saúde é Vida"" do NIS/UNIRIO tá demais. Precisamos repensar muita coisa... nos cuidar... e agir para mudar essa situação! 👊

🍎🍐🍊⚠️🥦🍠🌽

   https://t.co/yXXSPzhr4v ","",NA,5,0
"2019-12-03 13:37Z","@LuceldoMino @taisdeverdade Nossa, parece delicioso! (SQN) 🤣🤣🤣 ","@LuceldoMino",NA,1,0
"2019-12-03 12:51Z","Você define os seus limites! 🕊️💨 https://t.co/9bEbvHkZeT ","",NA,8,2
"2019-12-03 12:20Z","😷👍 Hoje às 13h30 vai rolar mesa-redonda: Cuidados intermediários, rede de atenção em saúde e atenção primária em saúde. O evento é promovido pelo Instituto de Saúde Coletiva (ISC) da UNIRIO. https://t.co/Y8Yv3pEcVa ","",NA,1,0
"2019-12-02 14:04Z","02/12 - Dia Nacional do Samba. 🥁 https://t.co/oRnvI46nSr ","",NA,21,0
"2019-12-02 13:06Z","🍴 Hoje tem escondidinho de frangoooo. Terça tem carne moída ou hamburguer de soja. Na quarta tem empadão! Quinta, picadinho de carne e sexta tem carré. 😋😋😋😋https://t.co/NCu5vMQJTX https://t.co/jRCDw8Tuur ","",NA,8,0
"2019-11-29 18:57Z","@bcguff ❤ ","@bcguff",NA,0,0
"2019-11-29 15:43Z","O Hospital Universitário Gaffrée e Guinle (HUGG) é a maior referência no Rio em HIV.  O tratamento vai desde o pré-natal e parto especializado para grávidas portadoras do vírus, até exames clínicos para acompanhamento do status do vírus em pacientes soropositivos. ❤️💙 https://t.co/fcq9QoHAkq ","",NA,33,9
"2019-11-29 15:35Z","@TurismoRJ ❤️ ","@TurismoRJ",NA,0,0
"2019-11-28 12:15Z","Amanhã (29) tem seminário do Programa de Pós-Graduação em Alimentos e Nutrição (PPGAN). O tema vai ser: Análise proteômica de espécies de interesse biotecnológico: foco em plantas oleaginosas. É às 12h30 no auditório da Escola de Nutrição. Bora? 💚❤️ https://t.co/aBSxgUp1oy https://t.co/aOtYVRVX1A ","",NA,0,0
"2019-11-28 12:06Z","🎮👾 Hoje (28) às 18h tem seminário da disciplina opcional Tópicos Especiais em Humanidades Digitais. O tema será: O Universo dos Games e a Gamificação como Recurso Didático. 👨🏽‍🏫👩🏻‍🏫 Eu sempre soube que jogar é coisa séria e faz bem! Bora lá? 😅😂   https://t.co/vu4H9kqDCc https://t.co/T7utvkCHpM ","",NA,3,0
"2019-11-27 13:27Z","Nosso maior recurso é a conscientização e a adoção de bons hábitos. https://t.co/zN43sKmGLi https://t.co/BGAj0l33P7 ","",NA,5,2
"2019-11-27 13:21Z","@oliveiraanaju VEM! ","@oliveiraanaju",NA,1,0
"2019-11-27 12:54Z","⭐️🎥Nesta sexta (29) o Fórum de Psicanálise e Cinema vai exibir  o filme  Nasce uma Estrela, às 18h, no Auditório Vera Janacópulos. O filme é dirigido pelo ator Bradley Cooper e tem no elenco a cantora Lady Gaga. ❤️ Nossa.. só filmaço einh!!!! 😍😍😍 https://t.co/6TeZaIgD3G https://t.co/dVCBbrVIQZ ","",NA,35,7
"2019-11-27 12:44Z","🎺🎹🎻Amanhã (28) vai rolar ""Música de Câmara de Eric Ewazen"" na Série Villa-Lobos Aplaude. É às 19h30 na Sala Villa-Lobos. https://t.co/DxpWql9I7F 👏😉 ","",NA,2,0
"2019-11-26 14:45Z","Quinta (28) tem mesa-redonda: Desafios para as Políticas de Ações Afirmativas: cotas raciais em concursos públicos para docentes. Como a legislação vem sendo aplicada? O evento é promovido pela Pro-Reitoria de Assuntos Estudantis. https://t.co/4HgNZROFtN ","",NA,2,0
"2019-11-25 12:14Z","🕊️❤️ https://t.co/tljr6t4Jkp ","",NA,20,4
"2019-11-25 11:56Z","🎵 Amanhã (26) vai rolar Unibones na Série UNIRIO Musical. O coral de trombones se apresenta a partir das 19h30 na Sala Villa-Lobos. https://t.co/fQJYlfud1W https://t.co/3bbll7Kh0j ","",NA,3,0
"2019-11-25 11:50Z","✈️🚎🛸Começa hoje e vai até quinta (28) a Semana de Turismo. O tema vai ser: Inovação em Turismo. 💡 🧠💥https://t.co/S5ExPobDwP https://t.co/PqbiAbLieR ","",NA,0,0
"2019-11-25 11:46Z","@alerodrgs 😍😘 ","@alerodrgs",NA,1,0
"2019-11-25 11:43Z","Hoje tem fricassê de frango. 😋Amanhã, goulash e macarrão. 😍 Quarta, coxa e sobrecoxa assadas. 🤤Quinta, quibe de forno 🥰 e sexta filé de frango e creme de milho. 🌽❤️🐓 https://t.co/YwJrPSsuzl https://t.co/bFv9UUkf4g ","",NA,18,2
"2019-11-22 18:25Z","@bethsafreire 😘 ","@bethsafreire",NA,0,0
"2019-11-22 18:17Z","❤️💛💙Gente, eu sei que vocês adoraram, e eu também!!! Mas opina lá! Tá?! 😘https://t.co/3zsNWhPzlw https://t.co/DwLRJZVzmm ","",NA,5,0
"2019-11-22 18:06Z","🎵 https://t.co/Uctx39qCbV ","",NA,13,1
"2019-11-22 15:40Z","🗣️📢 Foi divulgada a lista de novos representantes para o Conselho de Ensino, Pesquisa e Extensão (Consepe) e para o Conselho Universitário (Consuni) da UNIRIO. https://t.co/JeIsm4eOiL ","",NA,4,0
"2019-11-22 15:38Z","💙💥 A UNIRIO, por meio dos seus pesquisadores, foi contemplada em diferentes editais da Fundação de Amparo à Pesquisa do Estado do Rio de Janeiro (Faperj) e do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq). Muito orgulho!!!! 😍 https://t.co/Vx9jPcaNc0 ","",NA,9,2
"2019-11-22 15:36Z","💡 Vai rolar dia 26 mais uma edição do projeto Terças Inovadoras. O tema abordado será ""Estratégias em Propriedade Intelectual"". O evento é promovido pela  Diretoria de Inovação Tecnológica, Cultural e Social (DIT). IRADO, NÉ?! Fala tu. 😍😍 https://t.co/dRhpZkjIh8 https://t.co/2OCAyb8GTT ","",NA,2,0
"2019-11-22 15:29Z","🍀❤️ Amanhã (23) vai rolar o evento Responsabilidade e Fraternidade, do projeto de extensão Cultura da Fraternidade em Prática. O evento é organizado pelos alunos dos cursos de Engenharia de Produção e Ciências Ambientais. https://t.co/A1kZrJtA1r https://t.co/567OZCLTZj ","",NA,1,0
"2019-11-19 15:42Z","Assista à peça ""As Horas Seguintes Nos Trouxeram Até Aqui"" do projeto da UNIRIO Teatro no Campus. Peça inspirada num conto da autora camaronesa Léonora Miano. https://t.co/tN4ZDtG0co https://t.co/1HAph3yBY6 ","",NA,7,1
"2019-11-19 13:06Z","🎭🤸‍♂️Nos próximos dias 21, 22 e 23, o Laboratório Artes do Movimento realiza a terceira edição do Seminário Internacional Corpo Cênico: Diálogos e Experiências. https://t.co/RWraR7kOxu ","",NA,3,0
"2019-11-19 13:02Z","Acontece hoje (19) às 17h a 1° edição do Colóquio de Fenomenologia, realizado pelo Laboratório de Pesquisa em História da Filosifia. Não é necessária a realização de inscrição prévia e serão emitidos certificados de participação aos presentes.
https://t.co/OgWnQNpSsR ","",NA,4,0
"2019-11-19 13:00Z","https://t.co/iKCULGduTl ","",NA,0,0
"2019-11-19 12:59Z","@analuisabilega Vem comigo! ","@analuisabilega",NA,0,0
"2019-11-19 12:57Z","😷📚 Programas de Pós-Graduação em Enfermagem da UNIRIO assinam protocolo de internacionalização. Serão ofertadas vagas de mestrado e doutorado para países-membros do Mercosul.  https://t.co/uZSlGGccMH https://t.co/l4jBMSOIhL ","",NA,6,0
"2019-11-19 12:52Z","Será inaugurada hoje (19) às 18h a exposição ""Egito: A antiguidade com olhares de modernidade"". O evento é promovido pelo Sistema de Bibliotecas da UNIRIO em parceria com o Sistema de Bibliotecas da UFRJ e a Nabuco Incorporation.  https://t.co/w87C6U01jr https://t.co/ogH0arWfp7 ","",NA,41,10
"2019-11-19 12:48Z","Se liga no cardápio do RU!!! Hoje tem empadão de frango ou hamburguer de soja. Amanhã feriado. 🤩 Quinta tem filé de frango e creme de milho. Sexta Filézin de peixe 🎣 😍https://t.co/hQLZHTKXRK https://t.co/LO5LWrbCOr ","",NA,8,0
"2019-11-14 17:26Z","ATENÇÃO: Exibição de Bacurau é adiada. https://t.co/KcbQPZzKJ4 ","",NA,17,4
"2019-11-14 15:37Z","https://t.co/0l3o9giqfA ","",NA,0,0
"2019-11-14 12:28Z","Hoje (14) vai rolar seminário da disciplina opcional Tópicos Especiais em Humanidades Digitais. Tema: Websemântica, Ontologias, Dados Abertos e Interoperabilidade em Arquivos, Bibliotecas e Museus. https://t.co/3L246KyLV6 https://t.co/hOPDcc0226 ","",NA,4,0
"2019-11-13 14:00Z","@couldharryfly I can speak in english, also. ","@sleepinthdirt",NA,0,0
"2019-11-13 13:54Z","@couldharryfly Oh yes. 💙 ","@sleepinthdirt",NA,0,0
"2019-11-13 13:52Z","Acontece hoje (13) o II Seminário Estadual do Pibid-RJ e do  I Seminário Estadual do Programa Residência Pedagógica-RJ . Tema: Um decênio de lutas e resistências na formação docente no Estado do Rio de Janeiro.  https://t.co/gqNHfvxGqd https://t.co/N0sRdhjNPT ","",NA,7,1
"2019-11-13 13:14Z","13/11 - Dia Mundial da Gentileza. 🌹 Bora melhorar o mundo à nossa volta. 🌎 💙 https://t.co/Xu33GbxiDL ","",NA,36,11
"2019-11-12 15:35Z","https://t.co/l1ELigHr5V ","",NA,2,0
"2019-11-12 11:55Z","🎭Para celebrar os 20 anos da morte do polonês Jerzy Grotowski, um dos mais importantes nomes do teatro, pesquisadores e artistas do Rio e de várias partes do mundo se uniram para realizar o Seminário Internacional Grotowski 2019: uma cultura ativa. https://t.co/88Yuq4FioU https://t.co/h3pPCt3CcW ","",NA,3,1
"2019-11-12 11:43Z","😷 Aberto edital sobre prevenção da sífilis para trabalhos de rádio produzidos por universitários. O objetivo é reunir ideias inovadoras na comunicação em saúde, podendo subsidiar a formulação de políticas para o fortalecimento do SUS.  https://t.co/4J6AESRdGQ https://t.co/lOzzuCwVI1 ","",NA,6,1
"2019-11-12 11:36Z","https://t.co/Sni1ZVszL2 ","",NA,1,0
"2019-11-11 15:11Z","🎹 Quinta (14) vai tem evento com a pianista Sica Malaguti na Série Villa-Lobos Aplaude. É às 19h30 na Sala Villa-Lobos. https://t.co/QLZ2MFEVAP https://t.co/soZEKQg7Vi ","",NA,7,1
"2019-11-11 12:06Z","Oh, hoje tem carré e farofa de banana 😳, terça tem picadinho de carne ao molho madeira 🤤, quarta, frango xadrez ou lasanha de berinjela 😲, quinta carne moída com batata rústica 😏, e sexta é feriado! 🥳🥳🥳🥳🥳      https://t.co/UQOhC8pifK https://t.co/Ffu8GLt4WL ","",NA,21,3
"2019-11-10 20:32Z","✍😋 Mãe e filha distribuem lanches de graça para estudantes que fazem Enem na UNIRIO. Alunos e professores contribuíram para o lanche.  https://t.co/1P0tpad2Bq ","",NA,44,14
"2019-11-08 15:01Z","😷💙 https://t.co/qsJOIYkXwS ","",NA,15,1
"2019-11-08 13:58Z","Ainda bem que vocês não vão sextar... 🙏🏽📚 https://t.co/l1IirKmqol ","",NA,36,5
"2019-11-08 13:57Z","🍼👶🏼 Segunda (11) vai rolar a 1ª Conversa com alunas mães da UNIRIO. O evento é promovido pela Pró-reitoria de Assuntos Estudantis, por meio da Coordenadoria de Políticas Estudantis e tem como objetivo criar uma política de atenção às alunas mães. https://t.co/usecn0VWvL https://t.co/VV9Az9BGNX ","",NA,21,10
"2019-11-07 16:44Z","@carlosthetree Ta nada. Estuda! 💙 ","@carlosthetree",NA,1,0
"2019-11-07 16:44Z","@oliveiraanaju Estuda. O q eh seu ta guardado! ","@oliveiraanaju",NA,1,0
"2019-11-07 16:08Z","07/11 - Dia Internacional da Preguiça 😴. Oh, descansa e volta a estudar einh! 📚📚📚 https://t.co/j4MoMw51Zz ","",NA,16,0
"2019-11-07 16:00Z","🍞😋📚Acontece amanhã (8), o Seminário Internacional: Base estrutural da alergenicidade das proteínas do trigo, ministrado pelo professor Hamza Mameri ( UMR IATE - INRA Montpellier / França). 🇫🇷👨🏻‍🏫 https://t.co/8i2q5rST2V https://t.co/msCS6aSjS6 ","",NA,2,0
"2019-11-07 15:08Z","👁️🏥 Sábado (9) das 9h às 14h30, acontece no Hospital Universitário Gaffrée e Guinle a Campanha Nacional de Ceratocone. (doença progressiva da córnea).  https://t.co/fA2Ijz5v41 ","",NA,4,1
"2019-11-07 14:56Z","@m4yk0n @01Lais Para de dar spoiler. Agora eu já sei que é maravilhoso, incrível e de uma inteligência.... 😅 ","@m4yk0n",NA,0,0
