,"word","lexicon"
1,"de","snowball"
2,"a","snowball"
3,"o","snowball"
4,"que","snowball"
5,"e","snowball"
6,"do","snowball"
7,"da","snowball"
8,"em","snowball"
9,"um","snowball"
10,"para","snowball"
11,"com","snowball"
12,"não","snowball"
13,"uma","snowball"
14,"os","snowball"
15,"no","snowball"
16,"se","snowball"
17,"na","snowball"
18,"por","snowball"
19,"mais","snowball"
20,"as","snowball"
21,"dos","snowball"
22,"como","snowball"
23,"mas","snowball"
24,"ao","snowball"
25,"ele","snowball"
26,"das","snowball"
27,"à","snowball"
28,"seu","snowball"
29,"sua","snowball"
30,"ou","snowball"
31,"quando","snowball"
32,"muito","snowball"
33,"nos","snowball"
34,"já","snowball"
35,"eu","snowball"
36,"também","snowball"
37,"só","snowball"
38,"pelo","snowball"
39,"pela","snowball"
40,"até","snowball"
41,"isso","snowball"
42,"ela","snowball"
43,"entre","snowball"
44,"depois","snowball"
45,"sem","snowball"
46,"mesmo","snowball"
47,"aos","snowball"
48,"seus","snowball"
49,"quem","snowball"
50,"nas","snowball"
51,"me","snowball"
52,"esse","snowball"
53,"eles","snowball"
54,"você","snowball"
55,"essa","snowball"
56,"num","snowball"
57,"nem","snowball"
58,"suas","snowball"
59,"meu","snowball"
60,"às","snowball"
61,"minha","snowball"
62,"numa","snowball"
63,"pelos","snowball"
64,"elas","snowball"
65,"qual","snowball"
66,"nós","snowball"
67,"lhe","snowball"
68,"deles","snowball"
69,"essas","snowball"
70,"esses","snowball"
71,"pelas","snowball"
72,"este","snowball"
73,"dele","snowball"
74,"tu","snowball"
75,"te","snowball"
76,"vocês","snowball"
77,"vos","snowball"
78,"lhes","snowball"
79,"meus","snowball"
80,"minhas","snowball"
81,"teu","snowball"
82,"tua","snowball"
83,"teus","snowball"
84,"tuas","snowball"
85,"nosso","snowball"
86,"nossa","snowball"
87,"nossos","snowball"
88,"nossas","snowball"
89,"dela","snowball"
90,"delas","snowball"
91,"esta","snowball"
92,"estes","snowball"
93,"estas","snowball"
94,"aquele","snowball"
95,"aquela","snowball"
96,"aqueles","snowball"
97,"aquelas","snowball"
98,"isto","snowball"
99,"aquilo","snowball"
100,"estou","snowball"
101,"está","snowball"
102,"estamos","snowball"
103,"estão","snowball"
104,"estive","snowball"
105,"esteve","snowball"
106,"estivemos","snowball"
107,"estiveram","snowball"
108,"estava","snowball"
109,"estávamos","snowball"
110,"estavam","snowball"
111,"estivera","snowball"
112,"estivéramos","snowball"
113,"esteja","snowball"
114,"estejamos","snowball"
115,"estejam","snowball"
116,"estivesse","snowball"
117,"estivéssemos","snowball"
118,"estivessem","snowball"
119,"estiver","snowball"
120,"estivermos","snowball"
121,"estiverem","snowball"
122,"hei","snowball"
123,"há","snowball"
124,"havemos","snowball"
125,"hão","snowball"
126,"houve","snowball"
127,"houvemos","snowball"
128,"houveram","snowball"
129,"houvera","snowball"
130,"houvéramos","snowball"
131,"haja","snowball"
132,"hajamos","snowball"
133,"hajam","snowball"
134,"houvesse","snowball"
135,"houvéssemos","snowball"
136,"houvessem","snowball"
137,"houver","snowball"
138,"houvermos","snowball"
139,"houverem","snowball"
140,"houverei","snowball"
141,"houverá","snowball"
142,"houveremos","snowball"
143,"houverão","snowball"
144,"houveria","snowball"
145,"houveríamos","snowball"
146,"houveriam","snowball"
